name,picture,num,star,director,introduction
七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,80,8.8,大卫·芬奇 David Fincher,警察抓小偷，老鼠玩死猫。
蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,81,8.8,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,人的命运被自己瞬间的抉择改变。
禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,82,8.8,Martin Scorsese,昔日翩翩少年，今日大腹便便。
心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,83,8.9,格斯·范·桑特 Gus Van Sant,人生中应该拥有这样的一段豁然开朗。
布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,84,8.8,韦斯·安德森 Wes Anderson,小清新的故事里注入了大历史的情怀。
春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,85,8.9,王家卫 Kar Wai Wong,爱情纠缠，男女一致。
被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,86,8.9,中岛哲也 Tetsuya Nakashima,以戏谑来戏谑戏谑。
摩登时代 / Modern Times / The Masses  /  Les Temps modernes,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,87,9.3,查理·卓别林 Charles Chaplin,大时代中的人生，小人物的悲喜。
阿凡达 / Avatar / 天神下凡(港)  /  化身,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,88,8.7,詹姆斯·卡梅隆 James Cameron,绝对意义上的美轮美奂。
剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,89,8.7,蒂姆·波顿 Tim Burton,浪漫忧郁的成人童话。
勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,90,8.9,梅尔·吉布森 Mel Gibson,史诗大片的典范。
哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台) ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,91,8.9,大卫·叶茨 David Yates,10年的完美句点。
喜剧之王 / 喜劇之王 / King of Comedy,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,92,8.8,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,我是一个演员。
